Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-08-26,16.3324,16.4314,15.8574,16.0356,11547.230768719
2022-08-29,15.9366,16.4116,15.0456,15.3228,21545.738460584
2022-08-30,15.5406,15.798,14.7884,14.7884,20426.374358069
2022-08-31,14.7884,15.2832,14.5706,14.5904,21887.205127235
2022-09-01,14.8082,14.8082,14.1944,14.2142,13069.687178908
2022-09-02,14.7488,15.4812,14.2142,15.3426,23299.543588711
2022-09-05,15.8376,15.8574,15.1248,15.3426,7037.4461535344
2022-09-06,15.4218,15.8178,15.3624,15.7782,5000.7692305477
2022-09-07,15.7782,15.8376,15.3624,15.7188,3802.6051280367
2022-09-08,15.8178,16.0752,15.4812,16.0752,7847.6717945241
2022-09-09,15.9366,16.0158,15.5604,15.5604,9328.7076918944
2022-09-12,15.699,15.8376,15.6198,15.7386,4732.0410254314
2022-09-13,15.8376,15.996,15.402,15.402,8179.0358970735
2022-09-14,15.402,15.7782,15.0456,15.1446,5530.1435894986
2022-09-15,15.3228,15.4416,15.0456,15.0456,7498.1230765909
2022-09-16,15.204,15.204,14.036,14.036,50392.599997767
2022-09-19,14.1746,14.7884,13.8776,13.8776,33757.717947222
2022-09-20,14.0162,14.2538,13.3828,13.561,17448.138460765
2022-09-21,13.5016,13.8578,13.3828,13.6796,12016.999999468
2022-09-22,13.7588,14.2142,13.4422,13.4818,12199.856409716
2022-09-23,13.7192,14.0162,12.868,12.8878,21559.882050327
2022-09-26,12.9076,13.165,12.868,13.066,8727.6051278185
2022-09-27,12.8878,13.6994,12.8878,13.5214,5395.7794869404
2022-09-28,13.5808,13.5808,12.8482,12.8878,10531.923076456
2022-09-29,12.868,13.066,12.5512,12.868,28642.789742321
2022-09-30,13.4026,13.4026,12.7492,12.868,5886.7641023033
2022-10-03,13.2244,13.2244,12.769,12.769,11712.912819994
2022-10-04,12.967,13.066,12.67,12.769,22820.682050271
2022-10-05,12.8482,12.8482,12.6106,12.6106,11856.369230244
2022-10-06,12.8482,13.0462,12.7492,12.9472,4995.7179484966
2022-10-07,12.967,12.967,12.571,12.67,14584.061537815
2022-10-10,12.8482,12.8482,12.2742,12.294,15985.287178779
2022-10-11,12.294,12.6898,12.0762,12.6898,18030.046153047
2022-10-12,12.67,12.67,12.2742,12.3138,5148.2666664386
2022-10-13,12.294,12.6106,11.8782,11.898,19639.384614514
2022-10-14,12.2742,12.5116,11.9178,11.997,19099.907691461
2022-10-17,11.997,12.472,11.898,12.2148,4160.2358972516
2022-10-18,12.472,12.769,12.2742,12.3928,13383.876922484
2022-10-19,12.7294,12.7492,12.1158,12.2544,7078.866666353
2022-10-20,12.294,12.3533,11.9376,11.9772,11402.764102059
2022-10-21,12.5314,12.6106,12.0366,12.2544,11651.287178971
2022-10-24,12.472,12.868,12.195,12.195,16381.307691582
2022-10-25,12.5512,12.67,12.2544,12.67,17010.697435144
2022-10-26,12.8482,13.462,12.7294,12.7888,23778.405127152
2022-10-27,13.0462,13.0462,12.8086,12.9274,4289.5487177587
2022-10-28,12.9274,13.363,12.9274,13.1254,8165.9025637408
2022-10-31,13.1452,13.9766,13.1452,13.363,33076.80512674
2022-11-02,13.4818,14.1944,13.4818,13.9568,78962.651278553
2022-11-03,13.9568,14.7488,13.6598,14.2538,43503.661536534
2022-11-04,14.63,14.63,14.0756,14.2934,27120.333332132
2022-11-07,14.2934,14.5112,13.2046,13.2046,96382.502559832
2022-11-08,13.6598,13.6598,13.066,13.4026,13047.461537883
2022-11-09,13.6994,13.9568,13.066,13.264,68355.969227741
2022-11-10,13.264,13.739,12.868,13.3036,24193.620511749
2022-11-14,13.739,14.0756,13.462,13.561,27787.102562871
2022-11-15,13.5808,13.6598,13.4224,13.4224,11482.574358466
2022-11-16,13.3432,13.7192,12.868,13.6994,69911.764099467
2022-11-17,13.6796,13.739,13.4026,13.5412,11966.487178957
2022-11-18,13.6006,14.432,13.6006,14.432,31974.615383199
2022-11-21,14.5112,15.3426,14.1548,14.828,52635.369228437
2022-11-22,15.0456,15.3426,14.6498,14.7488,35140.758972802
2022-11-23,15.006,15.006,14.2142,14.432,18165.420512016
2022-11-24,14.1548,14.1548,13.462,13.8578,169514.96409505
2022-11-25,13.8578,14.1152,13.5214,14.0558,24602.774357884
2022-11-28,13.9766,14.0558,13.6598,13.6598,12498.892307139
2022-11-29,13.838,14.7488,13.0858,14.1548,73119.328201889
2022-11-30,14.135,14.6498,13.8974,14.2538,30393.564101218
2022-12-01,14.4914,14.7092,14.0954,14.3924,22214.528204144
2022-12-02,14.432,14.432,14.0954,14.1746,29673.251280737
2022-12-05,14.2736,14.7488,14.1548,14.1548,21031.517947786
2022-12-06,14.1548,14.63,13.8776,13.9172,21389.148717001
2022-12-07,14.234,14.4914,13.8776,14.2538,15784.246153147
2022-12-08,14.4716,16.3126,14.4518,15.9366,168212.74358229
2022-12-09,16.3324,17.0056,15.5406,15.996,65115.066663782
